"GEO_ID","NAME","P9_001N","P9_002N","P9_003N","P9_004N","P9_005N","P9_006N","P9_007N","P9_008N","P9_009N","P9_010N","P9_011N","P9_012N","P9_013N","P9_014N","P9_015N","P9_016N","P9_017N","P9_018N","P9_019N","P9_020N","P9_021N","P9_022N","P9_023N","P9_024N","P9_025N","P9_026N","P9_027N","P9_028N","P9_029N","P9_030N","P9_031N","P9_032N","P9_033N","P9_034N","P9_035N","P9_036N","P9_037N","P9_038N","P9_039N","P9_040N","P9_041N","P9_042N","P9_043N","P9_044N","P9_045N","P9_046N","P9_047N","P9_048N","P9_049N","P9_050N","P9_051N","P9_052N","P9_053N","P9_054N","P9_055N","P9_056N","P9_057N","P9_058N","P9_059N","P9_060N","P9_061N","P9_062N","P9_063N","P9_064N","P9_065N","P9_066N","P9_067N","P9_068N","P9_069N","P9_070N","P9_071N","P9_072N","P9_073N",
"1600000US0601458","Alum Rock CDP, California","12042","8077","3965","3743","1238","139","35","2230","28","73","222","206","19","38","80","9","30","1","4","0","3","0","0","0","20","0","2","16","0","2","0","1","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601514","Amador City city, California","200","21","179","167","158","1","4","0","0","4","12","12","1","5","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601518","Amador Pines CDP, California","1118","91","1027","982","950","3","16","10","3","0","45","43","6","22","10","0","4","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601640","American Canyon city, California","21837","6705","15132","13812","4474","1428","39","7623","146","102","1320","1186","194","147","505","30","87","25","82","3","10","5","0","2","79","15","2","131","25","33","0","9","15","1","4","33","7","0","0","0","2","1","0","0","1","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601651","Amesti CDP, California","2637","1564","1073","992","940","3","5","39","3","2","81","79","12","18","21","3","22","1","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0602000","Anaheim city, California","346824","186651","160173","150762","78237","8465","646","60632","1297","1485","9411","8638","1009","1266","3829","270","1226","84","303","39","100","64","7","8","333","94","6","729","127","101","26","56","68","17","20","264","22","3","10","1","3","1","6","0","2","0","0","2","40","20","0","5","1","7","0","5","1","0","1","0","0","0","0","0","3","0","3","0","0","0","0","1","1",
"1600000US0602028","Anchor Bay CDP, California","473","36","437","409","391","0","3","4","0","11","28","23","0","13","3","0","5","0","0","0","0","1","1","0","0","0","0","4","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1600000US0602042","Anderson city, California","11323","1587","9736","8924","8060","101","344","329","27","63","812","790","88","474","77","6","120","6","3","0","0","4","2","3","5","1","1","16","7","0","0","0","5","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","6","1","2","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0",
"1600000US0602112","Angels city, California","3667","459","3208","2998","2870","27","44","46","5","6","210","208","9","121","22","7","49","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0602168","Angwin CDP, California","2633","721","1912","1774","1247","105","7","163","6","246","138","132","14","36","39","3","29","0","1","2","6","0","0","0","2","0","0","4","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
