NAME,P9_001N,P9_002N,HISPANIC_PCT
Geographic Area Name,Total,Total:Hispanic or Latino,Hispanic or Latino Percentage
"Blackhawk CDP, California",9637,690,7.16
"Blacklake CDP, California",1016,103,10.14
"Black Point-Green Point CDP, California",1431,143,9.99
"Blairsden CDP, California",38,2,5.26
"Bloomfield CDP, California",338,45,13.31
"Bloomington CDP, California",24339,20959,86.11
"Blue Lake city, California",1208,96,7.95
"Bluewater CDP, California",116,10,8.62
"Blythe city, California",18317,10873,59.36
"Bodega CDP, California",211,11,5.21
"Bodega Bay CDP, California",912,107,11.73
"Bodfish CDP, California",2008,212,10.56
"Bolinas CDP, California",1483,155,10.45
"Bombay Beach CDP, California",231,56,24.24
"Bonadelle Ranchos CDP, California",5497,1848,33.62
"Bonita CDP, California",12917,6282,48.63
"Bonny Doon CDP, California",2868,283,9.87
"Bonsall CDP, California",4546,1097,24.13
"Boonville CDP, California",1018,551,54.13
"Bootjack CDP, California",661,58,8.77
"Boron CDP, California",2086,542,25.98
"Boronda CDP, California",1760,1532,87.05
"Borrego Springs CDP, California",3073,1173,38.17
"Bostonia CDP, California",16882,5703,33.78
"Boulder Creek CDP, California",5429,636,11.71
"Boulevard CDP, California",359,113,31.48
"Bowles CDP, California",158,93,58.86
"Boyes Hot Springs CDP, California",6215,2961,47.64
"Bradbury city, California",921,184,19.98
"Bradley CDP, California",69,13,18.84
"Brawley city, California",26416,22750,86.12
"Brea city, California",47325,12972,27.41
"Brentwood city, California",64292,17121,26.63
"Bret Harte CDP, California",5135,4524,88.1
"Bridgeport CDP, California",553,171,30.92
"Brisbane city, California",4851,868,17.89
"Broadmoor CDP, California",4411,982,22.26
"Brookdale CDP, California",2043,237,11.6
"Brooks CDP, California",31,11,35.48
"Brooktrails CDP, California",3632,557,15.34
"Buckhorn CDP, California",2597,252,9.7
"Buck Meadows CDP, California",21,5,23.81
"Bucks Lake CDP, California",22,0,0.0
"Buellton city, California",5161,1676,32.47
"Buena Park city, California",84034,34330,40.85
"Buena Vista CDP, California",542,99,18.27
"Burbank city, California",107337,25961,24.19
"Burbank CDP, California",4940,2270,45.95
"Burlingame city, California",31386,4263,13.58
"Burney CDP, California",3000,346,11.53
"Burnt Ranch CDP, California",250,19,7.6
"Butte Creek Canyon CDP, California",780,66,8.46
"Butte Meadows CDP, California",74,14,18.92
"Butte Valley CDP, California",945,153,16.19
"Buttonwillow CDP, California",1337,1087,81.3
"Byron CDP, California",1140,576,50.53
"Bystrom CDP, California",3957,3256,82.28
"Cabazon CDP, California",2629,1400,53.25
"Calabasas city, California",23241,1954,8.41
"Calexico city, California",38633,37548,97.19
"California City city, California",14973,5494,36.69
"California Hot Springs CDP, California",50,2,4.0
"California Pines CDP, California",473,74,15.64
"California Polytechnic State University CDP, California",8583,1310,15.26
"Calimesa city, California",10026,2894,28.86
"Calipatria city, California",6515,4960,76.13
"Calistoga city, California",5228,2698,51.61
"Callender CDP, California",1282,392,30.58
"Calpella CDP, California",799,348,43.55
"Calpine CDP, California",223,18,8.07
"Calwa CDP, California",1776,1601,90.15
"Camanche North Shore CDP, California",1070,150,14.02
"Camanche Village CDP, California",964,152,15.77
"Camarillo city, California",70741,19356,27.36
"Cambria CDP, California",5678,1260,22.19
"Cambrian Park CDP, California",3719,626,16.83
"Cameron Park CDP, California",18881,2862,15.16
"Camino CDP, California",1871,154,8.23
"Camino Tassajara CDP, California",4951,282,5.7
"Campbell city, California",43959,8424,19.16
"Camp Nelson CDP, California",106,3,2.83
"Campo CDP, California",2955,1087,36.79
"Camp Pendleton Mainside CDP, California",9683,2905,30.0
"Camp Pendleton South CDP, California",12468,3590,28.79
"Camptonville CDP, California",158,12,7.59
"Canby CDP, California",183,12,6.56
"Cantua Creek CDP, California",500,468,93.6
"Canyondam CDP, California",30,5,16.67
"Canyon Lake city, California",11082,1668,15.05
"Capitola city, California",9938,2227,22.41
"Caribou CDP, California",1,1,100.0
"Carlsbad city, California",114746,17302,15.08
"Carmel-by-the-Sea city, California",3220,192,5.96
"Carmel Valley Village CDP, California",4524,479,10.59
"Carmet CDP, California",55,4,7.27
"Carmichael CDP, California",79793,11716,14.68
"Carnelian Bay CDP, California",518,31,5.98
"Carpinteria city, California",13264,6473,48.8
"Carrick CDP, California",143,17,11.89
"Carson city, California",95558,37643,39.39
"Cartago CDP, California",62,19,30.65
"Caruthers CDP, California",2613,1930,73.86
"Casa Conejo CDP, California",3267,976,29.87
"Casa de Oro-Mount Helix CDP, California",19576,4544,23.21
"Casa Loma CDP, California",1804,1443,79.99
"Casmalia CDP, California",147,63,42.86
"Caspar CDP, California",500,55,11.0
"Cassel CDP, California",207,14,6.76
"Castaic CDP, California",18937,5886,31.08
"Castella CDP, California",214,16,7.48
"Castle Hill CDP, California",1271,91,7.16
"Castro Valley CDP, California",66441,12822,19.3
"Castroville CDP, California",7515,6872,91.44
"Cathedral City city, California",51493,30893,59.99
"Catheys Valley CDP, California",829,115,13.87
"Cayucos CDP, California",2505,274,10.94
"Cazadero CDP, California",298,19,6.38
"Cedar Flat CDP, California",797,33,4.14
"Cedar Ridge CDP, California",1235,116,9.39
"Cedar Slope CDP, California",10,2,20.0
"Cedarville CDP, California",437,76,17.39
"Centerville CDP (Fresno County), California",378,136,35.98
"Centerville CDP (Shasta County), California",2095,166,7.92
"Ceres city, California",49302,31624,64.14
"Cerritos city, California",49578,7092,14.3
"Chalfant CDP, California",660,55,8.33
"Challenge-Brownsville CDP, California",1161,94,8.1
"Channel Islands Beach CDP, California",2870,455,15.85
"Charleston View CDP, California",45,15,33.33
"Charter Oak CDP, California",9739,5600,57.5
"Cherokee CDP, California",88,6,6.82
"Cherokee Strip CDP, California",206,164,79.61
"Cherryland CDP, California",15808,9179,58.07
"Cherry Valley CDP, California",6509,1544,23.72
"Chester CDP, California",2187,175,8.0
"Chico city, California",101475,20638,20.34
"Chilcoot-Vinton CDP, California",446,28,6.28
"China Lake Acres CDP, California",1757,327,18.61
"Chinese Camp CDP, California",90,9,10.0
"Chino city, California",91403,46841,51.25
"Chino Hills city, California",78411,22084,28.16
"Choctaw Valley CDP, California",237,40,16.88
"Chowchilla city, California",19039,9054,47.56
"Chualar CDP, California",1185,1143,96.46
"Chula Vista city, California",275487,164698,59.78
"Citrus CDP, California",10243,7806,76.21
"Citrus Heights city, California",87583,17176,19.61
"Claremont city, California",37266,9416,25.27
"Clarksburg CDP, California",402,111,27.61
"Clay CDP, California",1252,284,22.68
"Clayton city, California",11070,1242,11.22
"Clear Creek CDP, California",175,9,5.14
"Clearlake city, California",16685,5406,32.4
"Clearlake Oaks CDP, California",2551,314,12.31
"Clearlake Riviera CDP, California",3410,651,19.09
"Cleone CDP, California",622,182,29.26
"Clio CDP, California",77,0,0.0
"Clipper Mills CDP, California",160,12,7.5
"Cloverdale city, California",8996,3470,38.57
"Clovis city, California",120124,36594,30.46
"Clyde CDP, California",729,144,19.75
"Coachella city, California",41941,40421,96.38
"Coalinga city, California",17590,11243,63.92
"Coarsegold CDP, California",4144,589,14.21
"Cobb CDP, California",1295,119,9.19
"Coffee Creek CDP, California",152,12,7.89
"Cohasset CDP, California",830,58,6.99
"Cold Springs CDP (El Dorado County), California",556,52,9.35
"Cold Springs CDP (Tuolumne County), California",123,7,5.69
"Coleville CDP, California",419,104,24.82
"Colfax city, California",1995,210,10.53
"College City CDP, California",292,201,68.84
"Collierville CDP, California",2094,784,37.44
"Colma town, California",1507,621,41.21
"Coloma CDP, California",521,60,11.52
"Colton city, California",53909,39779,73.79
"Columbia CDP, California",2577,308,11.95
"Colusa city, California",6411,3757,58.6
"Commerce city, California",12378,11690,94.44
"Comptche CDP, California",167,15,8.98
"Compton city, California",95740,67791,70.81
"Concord city, California",125410,38953,31.06
"Concow CDP, California",402,32,7.96
"Contra Costa Centre CDP, California",6808,833,12.24
"Copperopolis CDP, California",3400,487,14.32
"Corcoran city, California",22339,15538,69.56
"Corning city, California",8244,4487,54.43
"Corona city, California",157136,73102,46.52
"Coronado city, California",20192,3406,16.87
"Coronita CDP, California",2639,1590,60.25
"Corralitos CDP, California",2342,635,27.11
"Corte Madera town, California",10222,1092,10.68
"Costa Mesa city, California",111918,40795,36.45
