NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"Del Dios CDP, California",396,42
"Delft Colony CDP, California",412,389
"Delhi CDP, California",10656,8497
"Delleker CDP, California",802,236
"Del Mar city, California",3954,274
"Del Monte Forest CDP, California",4204,241
"Del Rey CDP, California",1358,1207
"Del Rey Oaks city, California",1592,244
"Del Rio CDP, California",1399,221
"Denair CDP, California",4865,1772
"Derby Acres CDP, California",301,52
"Descanso CDP, California",1499,230
"Desert Center CDP, California",256,71
"Desert Edge CDP, California",4180,1649
"Desert Hot Springs city, California",32512,19887
"Desert Palms CDP, California",6686,258
"Desert Shores CDP, California",1128,1009
"Desert View Highlands CDP, California",2676,1675
"Diablo CDP, California",1255,80
"Diablo Grande CDP, California",1669,614
"Diamond Bar city, California",55072,10803
"Diamond Springs CDP, California",11345,1775
"Di Giorgio CDP, California",400,393
"Dillon Beach CDP, California",246,17
"Dinuba city, California",24563,21599
"Discovery Bay CDP, California",15358,2865
"Dixon city, California",18988,8302
"Dixon Lane-MeadowCreek CDP, California",2780,818
"Dobbins CDP, California",551,68
"Dogtown CDP, California",2516,655
"Dollar Point CDP, California",1261,86
"Dorrington CDP, California",519,45
"Dorris city, California",860,339
"Dos Palos city, California",5798,4184
"Dos Palos Y CDP, California",310,219
"Douglas City CDP, California",868,53
"Downey city, California",114355,85866
"Downieville CDP, California",290,30
"Doyle CDP, California",536,37
"Drytown CDP, California",186,10
"Duarte city, California",21727,10436
"Dublin city, California",72589,8351
"Ducor CDP, California",616,558
"Dunnigan CDP, California",1382,764
"Dunsmuir city, California",1707,202
"Durham CDP, California",5834,811
"Dustin Acres CDP, California",677,160
"Dutch Flat CDP, California",183,21
"Eagleville CDP, California",45,3
"Earlimart CDP, California",7679,7045
"East Bakersfield CDP, California",9749,8299
"Eastern Goleta Valley CDP, California",28656,7458
"East Foothills CDP, California",6803,2205
"East Hemet CDP, California",19432,10232
"East Los Angeles CDP, California",118786,113036
"East Nicolaus CDP, California",223,53
"East Niles CDP, California",28390,22905
